
 num     #instances         #bytes  class name
 461:             7            224  java.lang.reflect.Proxy$Key1
 462:             7            224  java.lang.reflect.WeakCache$CacheValue
 463:             7            224  java.nio.DirectByteBuffer$Deallocator
 464:             7            224  java.util.ArrayList$Itr
 465:             7            224  java.util.Collections$SynchronizedMap
 466:            14            224  java.util.LinkedHashMap$LinkedKeySet
 467:             7            224  java.util.concurrent.SynchronousQueue$TransferStack$SNode
 468:             9            216  com.fasterxml.jackson.annotation.JsonFormat$Shape
 469:             9            216  java.util.logging.Level$KnownLevel
 470:             9            216  java.util.regex.Pattern$BitClass
 471:             9            216  java.util.zip.ZStreamRef
 472:             9            216  org.bson.AbstractBsonReader$State
 473:             9            216  org.bson.BsonElement
 474:             9            216  sun.reflect.NativeMethodAccessorImpl
 475:             9            216  sun.util.logging.PlatformLogger$Level
 476:             2            208  [Lcom.fasterxml.jackson.databind.MapperFeature;
 477:            13            208  [Ljava.lang.annotation.Annotation;
 478:             7            208  [Ljava.lang.invoke.LambdaForm$NamedFunction;
 479:             2            208  io.netty.channel.socket.nio.NioDatagramChannel
 480:             2            208  io.netty.util.internal.ThreadLocalRandom
 481:             2            208  io.vertx.core.http.impl.HttpServerImpl
 482:             2            208  io.vertx.core.net.NetClientOptions
 483:            13            208  org.bson.codecs.configuration.Optional$Some
 484:             2            200  [Ljava.text.DateFormat$Field;
 485:             5            200  io.netty.channel.nio.AbstractNioMessageChannel$NioMessageUnsafe
 486:             5            200  java.lang.ClassLoader$NativeLibrary
 487:             5            200  java.lang.invoke.BoundMethodHandle$SpeciesData
 488:             5            200  java.text.DigitList
 489:             5            200  java.util.stream.StreamOpFlag
